rank,Youtuber,subscribers,video views,video count,category,started,subscribers (in millions),video views(in millions)
151,Artist Shikha Sharma,"5,580,000.00","4,236,654,465.00","1,061.00",Entertainment,2019,5.58,42366.54465
152,utkal cartoonworld,"6,630,000.00","4,151,551,552.00",478.00,,2008,6.63,41515.51552
153,MaJa Tv Moral Stories Fairy Tales,"11,100,000.00","4,132,213,251.00",449.00,Entertainment,2017,11.1,41322.13251
154,Sumeet Music,"6,720,000.00","4,127,216,400.00","2,461.00",Entertainment,2013,6.72,41272.164
155,The geeta gurjar,"6,500,000.00","4,099,760,088.00",370.00,,2021,6.5,40997.60088
156,Movie Talkies,"6,830,000.00","4,085,587,782.00","35,544.00",Entertainment,2008,6.83,40855.87782
157,The MriDul,"14,200,000.00","4,063,581,085.00",99.00,Comedy,2015,14.2,40635.81085
158,Oneindia Hindi | वनइंडिया हिंदी,"10,600,000.00","4,054,113,138.00","133,405.00",News & Politics,2015,10.6,40541.13138
159,Asli Mona Official,"7,480,000.00","4,022,345,820.00",514.00,Comedy,2021,7.48,40223.4582
160,Hindi Kahaniya,"10,600,000.00","4,012,689,261.00",941.00,Film & Animation,2018,10.6,40126.89261
161,Sonotek Bhakti,"12,800,000.00","3,907,001,587.00","7,757.00",Entertainment,2010,12.8,39070.01587
162,MK Studio,"9,430,000.00","3,878,356,504.00",170.00,Music,2016,9.43,38783.56504
163,Trimurti Cassettes,"8,690,000.00","3,860,074,693.00","5,221.00",Entertainment,2012,8.69,38600.74693
164,RS 1313 SHORT STORIES,"5,510,000.00","3,838,457,541.00","5,884.00",Entertainment,2020,5.51,38384.57541
165,Vikram Singh Fitness,"3,350,000.00","3,837,477,914.00","5,869.00",Sports,2018,3.35,38374.77914
166,FilterCopy,"9,830,000.00","3,828,119,106.00",847.00,Comedy,2015,9.83,38281.19106
167,Taarak Mehta Ka Ooltah Chashmah Episodes,"2,480,000.00","3,821,004,370.00","6,489.00",Comedy,2020,2.48,38210.0437
168,ETV Plus India,"5,120,000.00","3,792,730,884.00","28,916.00",Comedy,2013,5.12,37927.30884
169,Tamil cinema,"6,820,000.00","3,767,871,258.00","6,145.00",Film & Animation,2015,6.82,37678.71258
170,zoom,"5,580,000.00","3,745,918,455.00","85,229.00",Entertainment,2007,5.58,37459.18455
171,Dream Stories TV Adventure,"9,290,000.00","3,719,634,744.00",355.00,,2019,9.29,37196.34744
172,Bollygrad Studioz,"8,380,000.00","3,671,567,963.00","56,994.00",Music,2014,8.38,36715.67963
173,Indore Physical Academy,"12,900,000.00","3,645,908,488.00","1,522.00",People & Blogs,2014,12.9,36459.08488
174,Chimkandi,"8,430,000.00","3,617,946,945.00",278.00,Comedy,2016,8.43,36179.46945
175,ChuChuTV Bangla,"6,500,000.00","3,612,480,880.00",238.00,,2019,6.5,36124.8088
176,WION,"7,240,000.00","3,605,605,168.00","90,722.00",News & Politics,2016,7.24,36056.05168
177,Chapati Hindustani Gamer,"8,240,000.00","3,604,482,579.00","1,617.00",Gaming,2017,8.24,36044.82579
178,Kurulus Osman Urdu by atv,"6,280,000.00","3,597,909,554.00","3,891.00",Entertainment,2021,6.28,35979.09554
179,Multi DO Challenge Hindi,"7,460,000.00","3,563,165,988.00",335.00,,2020,7.46,35631.65988
180,TV5 News,"4,120,000.00","3,544,452,596.00","226,387.00",News & Politics,2011,4.12,35444.52596
181,NH Studioz,"10,700,000.00","3,527,151,324.00","5,849.00",Film & Animation,2011,10.7,35271.51324
182,StudyIQ IAS,"13,600,000.00","3,521,143,466.00","39,124.00",Education,2015,13.6,35211.43466
183,Haste Raho,"9,240,000.00","3,514,677,014.00",966.00,Comedy,2018,9.24,35146.77014
184,Shemaroo Kids,"8,080,000.00","3,506,503,389.00","2,109.00",Entertainment,2009,8.08,35065.03389
185,Akash Sagar,"3,330,000.00","3,488,067,488.00",617.00,Comedy,2017,3.33,34880.67488
186,Mukesh jaiswal,"4,740,000.00","3,484,857,625.00",888.00,People & Blogs,2017,4.74,34848.57625
